Date,KO,PEP
2017-01-03,31.982799530029297,80.47456359863281
2017-01-04,31.868030548095703,80.62834930419922
2017-01-05,31.944551467895508,80.52068328857422
2017-01-06,31.936899185180664,80.40533447265625
2017-01-09,31.61553192138672,79.5594711303711
2017-01-10,31.401294708251953,78.4136734008789
2017-01-11,31.4089412689209,78.29061889648438
2017-01-12,31.33243179321289,78.31367492675781
2017-01-13,31.27887535095215,78.0906982421875
2017-01-17,31.53902816772461,78.58283233642578
2017-01-18,31.59258270263672,79.00577545166016
2017-01-19,31.47781753540039,78.71356201171875
2017-01-20,31.61553192138672,79.3902816772461
2017-01-23,31.699703216552734,79.98240661621094
2017-01-24,32.05931854248047,80.52068328857422
2017-01-25,32.227638244628906,80.44379425048828
2017-01-26,31.990449905395508,80.08236694335938
2017-01-27,31.71500015258789,79.5748291015625
2017-01-30,31.661453247070312,79.73633575439453
2017-01-31,31.806819915771484,79.80553436279297
2017-02-01,31.569623947143555,79.21342468261719
2017-02-02,31.676748275756836,79.99775695800781
2017-02-03,31.78386116027832,80.82827758789062
2017-02-06,31.799171447753906,80.41302490234375
2017-02-07,32.05931854248047,81.21278381347656
2017-02-08,32.15113067626953,81.27429962158203
2017-02-09,31.56197166442871,81.4896011352539
2017-02-10,31.049335479736328,81.5895767211914
2017-02-13,31.07992935180664,81.91254425048828
2017-02-14,31.011072158813477,82.22014617919922
2017-02-15,30.942209243774414,82.07405853271484
2017-02-16,31.523723602294922,83.1429443359375
2017-02-17,31.546672821044922,83.16600799560547
2017-02-21,31.72265625,84.09648895263672
2017-02-22,31.82978630065918,84.13494110107422
2017-02-23,31.87569236755371,84.23490142822266
2017-02-24,31.967498779296875,84.45791625976562
2017-02-27,31.883333206176758,84.02725219726562
2017-02-28,32.10521697998047,84.88085174560547
2017-03-01,32.25824737548828,84.96061706542969
2017-03-02,32.49545669555664,85.25483703613281
2017-03-03,32.50310516357422,85.60322570800781
2017-03-06,32.2735481262207,84.88316345214844
2017-03-07,32.128170013427734,84.64313507080078
2017-03-08,32.128170013427734,84.62763977050781
2017-03-09,32.15877914428711,84.4108657836914
2017-03-10,32.35771560668945,84.85220336914062
2017-03-13,32.44261932373047,84.71284484863281
2017-03-14,32.39631271362305,84.65864562988281
2017-03-15,32.51209259033203,86.02908325195312
2017-03-16,32.61244583129883,86.05231475830078
2017-03-17,32.44261932373047,86.24589538574219
2017-03-20,32.55841064453125,86.06006622314453
2017-03-21,32.805423736572266,86.54013061523438
2017-03-22,32.71278762817383,86.73368072509766
2017-03-23,32.550689697265625,86.5478515625
2017-03-24,32.51209259033203,86.81111145019531
2017-03-27,32.666481018066406,86.58655548095703
2017-03-28,32.75138854980469,87.06661987304688
2017-03-29,32.74365997314453,87.0511245727539
2017-03-30,32.882606506347656,86.85755920410156
2017-03-31,32.75910949707031,86.60980987548828
2017-04-03,32.7359504699707,86.60980987548828
2017-04-04,32.94436264038086,86.78014373779297
2017-04-05,32.85945510864258,86.67173767089844
2017-04-06,32.9366340637207,86.39299011230469
2017-04-07,32.89032745361328,86.4162368774414
2017-04-10,32.95207595825195,86.73368072509766
2017-04-11,32.928924560546875,86.50912475585938
2017-04-12,33.14505386352539,87.96476745605469
2017-04-13,33.029266357421875,87.24468994140625
2017-04-17,33.245399475097656,87.74022674560547
2017-04-18,33.561866760253906,88.4835205078125
2017-04-19,33.368892669677734,87.9725112915039
2017-04-20,33.26083755493164,87.94927215576172
2017-04-21,33.245399475097656,87.82539367675781
2017-04-24,33.40749740600586,88.51448822021484
2017-04-25,33.27627182006836,88.39059448242188
2017-04-26,33.376617431640625,87.74796295166016
2017-04-27,33.19908142089844,87.21373748779297
2017-04-28,33.30714416503906,87.7092514038086
2017-05-01,33.361175537109375,86.93496704101562
2017-05-02,33.49240493774414,86.9427261352539
2017-05-03,33.43836975097656,86.55558776855469
2017-05-04,33.70081329345703,87.46149444580078
2017-05-05,33.723968505859375,87.66279602050781
2017-05-08,33.87834930419922,87.66279602050781
2017-05-09,33.58502960205078,87.27567291259766
2017-05-10,33.631351470947266,87.36856079101562
2017-05-11,33.708526611328125,87.52342987060547
2017-05-12,33.646785736083984,87.42277526855469
2017-05-15,33.754852294921875,88.22027587890625
2017-05-16,33.84746551513672,88.10411834716797
2017-05-17,33.90922164916992,88.06543731689453
2017-05-18,33.808876037597656,88.28997039794922
2017-05-19,33.88607406616211,88.0267105102539
2017-05-22,34.10219192504883,88.8086929321289
2017-05-23,34.2642936706543,89.0796890258789
2017-05-24,34.75829315185547,89.86170959472656
2017-05-25,35.0516242980957,90.99988555908203
2017-05-26,35.03618240356445,91.29413604736328
2017-05-30,35.06706619262695,91.37152862548828
2017-05-31,35.09794616699219,91.11038970947266
2017-06-01,35.34494400024414,91.39102172851562
2017-06-02,35.42213439941406,91.73406219482422
2017-06-05,35.49932861328125,91.89777374267578
2017-06-06,35.49160385131836,91.75743103027344
2017-06-07,35.128814697265625,91.25070190429688
2017-06-08,34.83549880981445,90.34637451171875
2017-06-09,34.982147216796875,90.38536834716797
2017-06-12,34.9898796081543,90.6114501953125
2017-06-13,35.044342041015625,90.68159484863281
2017-06-14,35.254478454589844,91.50019836425781
2017-06-15,35.21556091308594,91.37544250488281
2017-06-16,35.262264251708984,91.10256958007812
2017-06-19,35.31672286987305,91.43779754638672
2017-06-20,35.49573516845703,91.95233154296875
2017-06-21,35.19221115112305,91.53914642333984
2017-06-22,35.07547378540039,90.54907989501953
2017-06-23,35.21556091308594,91.1805648803711
2017-06-26,35.35565185546875,91.30529022216797
