x,y,alpha,beta,eg_p,adf_p,half_life,score
VIS,XLV,10.31664598851171,0.5836337823679956,0.6400141820849408,0.39159035258068775,inf,0.6126418138662515
XLI,XLE,1.4732616964713259,0.6620816169630236,0.6410861848409654,0.3916869392353891,inf,0.6131092496305418
XLV,XLE,4.881707825230777,0.5005930412636834,0.6431553946737076,0.3945198629921637,inf,0.6150701030663486
XLI,XLV,8.09022688353808,1.1455532407844988,0.6528159427463027,0.4052025274883545,inf,0.6232073880938629
VIS,XLE,2.9369009428677444,0.33621975588572267,0.6632890978560537,0.41560494838041634,inf,0.6315576184945881
VGT,XLE,29.322865525159383,0.090123461170561,0.6697658669911214,0.4232064223442293,inf,0.6371889157341404
XLY,VAW,28.925065211024076,0.839350676674131,0.6910771700198245,0.44787134470012263,inf,0.6555794058879789
XLY,XLB,10.806115591401706,0.3940911933616131,0.7014702032573948,0.46019164733366863,inf,0.6646647402364254
VHT,XLE,7.423032191402669,0.25217878548813877,0.7362539322442486,0.502272202077796,inf,0.6954104537288179
VIS,VHT,29.283782348763623,1.0415415573434497,0.737650839993735,0.5041886938484844,inf,0.6967358135368877
VAW,XLE,-1.2345289973378755,0.40679429836783276,0.7426548142325412,0.5099872859946218,inf,0.7010568400908652
XLI,VHT,25.54421123842326,2.0415557128742723,0.7436757367364957,0.5116684459912528,inf,0.7021376730910995
VFH,XLE,0.2570852017043421,0.7940949341246971,0.7444911400365798,0.5125265340120956,inf,0.7028070696194701
VGT,XLV,47.40588197230076,0.18462074760234137,0.7564470040171426,0.5317462259307283,inf,0.7152772919791484
XLB,XLE,2.0468100645565883,0.852838728510319,0.7594047040196334,0.5312124095023468,inf,0.716246845408792
XLF,XLE,1.0607272454303853,1.9076358957235382,0.7615832636504754,0.5340950157316143,inf,0.7182713117528359
XLY,XLE,22.361055485204787,0.25488051099415965,0.7836498860655847,0.5632984992061986,inf,0.7387793541087133
VGT,VHT,94.54176519280945,0.332480565040141,0.7844488255056068,0.5685831753590357,inf,0.7412128003458571
XLF,XLV,7.249882962459068,3.3049495662929935,0.7884902152129969,0.5701948216101607,inf,0.7434740147292631
VCR,XLE,26.08567526179666,0.13916894929060003,0.7933005302491677,0.5765295418612295,inf,0.7479320288441589
VFH,XLV,6.684335306779772,1.3642259663747105,0.7939763029875658,0.5777267122903175,inf,0.7486812061111534
XLF,VHT,23.515234380027664,5.907997346077105,0.8055199348757581,0.5939522770160204,inf,0.7597888847567114
VFH,VHT,22.40119314035678,2.440156415497291,0.8151850550325612,0.6078691093420321,inf,0.7692216657498374
XLI,VAW,15.746645657261922,1.519541971620852,0.8891740177589982,0.7281900769304332,inf,0.8469456378757725
VIS,VAW,18.161611141192054,0.7775086639713684,0.9236632946318504,0.7955610500654251,inf,0.8876897378789101
XLI,XLB,5.429721352702927,0.7038156263797261,0.9305057404355953,0.8102736195324434,inf,0.8963117439872155
VIS,XLB,6.579734423434957,0.35992853069163316,0.9427816658955769,0.8379535173882311,inf,0.9122940733135232
XLF,VAW,12.178286145153322,4.4673060394407935,0.9485155099093501,0.8520774567942353,inf,0.9202371866814341
XLK,VGT,8.511077035663789,2.548813555476459,0.9536481251311522,0.8671660119117512,inf,0.9283256548171614
VFH,VAW,10.41875147008949,1.8579056166004695,0.9661457829465753,0.8976071904569982,inf,0.9455011893614294
XLF,XLB,4.018767148366251,2.0609310967300214,0.9678938175202217,0.9024995234158202,inf,0.9481573363744167
VFH,XLB,3.299085894775615,0.8558356128324973,0.9733814063302145,0.918365340065903,inf,0.9566986985584471
