Date,ticker,side,qty,price,notional,fees,slippage
2017-02-16,KO,-1,-1612.3273566273583,31.52372360229492,-50826.56194673963,0.0,0.0
2017-02-16,PEP,1,608.1234627219557,83.1429443359375,50561.175210469126,0.0,0.0
2017-02-17,KO,1,1612.3273566273583,31.54667282104492,50863.56359994348,0.0,0.0
2017-02-17,PEP,-1,-608.1234627219557,83.16600799560547,-50575.20076304945,0.0,0.0
2017-02-21,PEP,1,601.3739397774506,84.09648895263672,50573.43688289799,0.0,0.0
2017-02-21,KO,-1,-1586.1070421376241,31.72265625,-50315.52847343612,0.0,0.0
2017-02-22,PEP,-1,-601.3739397774506,84.13494110107422,-50596.56100289676,0.0,0.0
2017-02-22,KO,1,1586.1070421376241,31.82978630065918,50485.4482012112,0.0,0.0
2017-02-23,KO,-1,-1576.160571358207,31.87569236755371,-50241.2094944819,0.0,0.0
2017-02-23,PEP,1,594.555142821243,84.23490142822266,50082.293849190246,0.0,0.0
2017-02-24,PEP,-1,-594.555142821243,84.45791625976562,-50214.88846420953,0.0,0.0
2017-02-24,KO,1,1576.160571358207,31.967498779296875,50385.91114086935,0.0,0.0
2017-02-27,KO,-1,-1568.5933790380984,31.88333320617676,-50011.98536887441,0.0,0.0
2017-02-27,PEP,1,593.5781861465757,84.02725219726562,49876.7439461338,0.0,0.0
2017-02-28,KO,1,1568.5933790380984,32.10521697998047,50360.0307873789,0.0,0.0
2017-02-28,PEP,-1,-593.5781861465757,84.88085174560547,-50383.4220177329,0.0,0.0
2017-03-01,KO,-1,-1568.2174657420542,32.25824737548828,-50587.9469484685,0.0,0.0
2017-03-01,PEP,1,595.045044227057,84.96061706542969,50555.39413925666,0.0,0.0
2017-03-02,KO,1,1568.2174657420542,32.49545669555664,50959.9427472365,0.0,0.0
2017-03-02,PEP,-1,-595.045044227057,85.25483703613281,-50730.46827473619,0.0,0.0
2017-03-03,KO,-1,-1549.9912136575947,32.50310516357422,-50379.527420128834,0.0,0.0
2017-03-03,PEP,1,588.5079667146733,85.60322570800781,50378.18030563693,0.0,0.0
2017-03-06,PEP,-1,-588.5079667146733,84.88316345214844,-49954.41793153315,0.0,0.0
2017-03-06,KO,1,1549.9912136575947,32.2735481262207,50023.71602919762,0.0,0.0
2017-03-07,KO,-1,-1538.3145625124553,32.128170013427734,-49423.231798531866,0.0,0.0
2017-03-07,PEP,1,584.0901389691758,84.64313507080078,49439.220526290745,0.0,0.0
2017-03-08,PEP,-1,-584.0901389691758,84.62763977050781,-49430.169874189254,0.0,0.0
2017-03-08,KO,1,1538.3145625124553,32.128170013427734,49423.231798531866,0.0,0.0
2017-03-09,PEP,1,590.715359942385,84.4108657836914,49862.794964461624,0.0,0.0
2017-03-09,KO,-1,-1556.2666650202257,32.15877914428711,-50047.635970001684,0.0,0.0
2017-03-10,PEP,-1,-590.715359942385,84.85220336914062,-50123.49985510636,0.0,0.0
2017-03-10,KO,1,1556.2666650202257,32.35771560668945,50357.2341548955,0.0,0.0
2017-03-13,PEP,1,592.3408027602561,84.71284484863281,50178.87452174419,0.0,0.0
2017-03-13,KO,-1,-1554.7853908155066,32.44261932373047,-50441.31056432499,0.0,0.0
2017-03-14,KO,1,1554.7853908155066,32.39631271362305,50369.31372343178,0.0,0.0
2017-03-14,PEP,-1,-592.3408027602561,84.65864562988281,-50146.770113000835,0.0,0.0
2017-03-15,PEP,1,590.2292632167099,86.02908325195312,50776.882423009294,0.0,0.0
2017-03-15,KO,-1,-1541.1825876656949,32.51209259033203,-50107.070988794585,0.0,0.0
2017-03-16,KO,1,1541.1825876656949,32.61244583129883,50261.73365638843,0.0,0.0
2017-03-16,PEP,-1,-590.2292632167099,86.05231475830078,-50790.594337884286,0.0,0.0
2017-03-17,PEP,1,581.1988005680026,86.24589538574219,50126.01095210679,0.0,0.0
2017-03-17,KO,-1,-1537.8893210604433,32.44261932373047,-49893.15780519427,0.0,0.0
2017-03-20,PEP,-1,-581.1988005680026,86.06006622314453,-50018.007265694476,0.0,0.0
2017-03-20,KO,1,1537.8893210604433,32.55841064453125,50071.23204092527,0.0,0.0
2017-03-21,KO,-1,-1541.1825876656949,32.805423736572266,-50559.147843800056,0.0,0.0
2017-03-21,PEP,1,579.737734490096,86.54013061523438,50170.57926535298,0.0,0.0
2017-03-22,KO,1,1541.1825876656949,32.71278762817383,50416.37868654727,0.0,0.0
2017-03-22,PEP,-1,-579.737734490096,86.73368072509766,-50282.787567555424,0.0,0.0
2017-03-23,KO,-1,-1524.138215726164,32.550689697265625,-49611.75011584646,0.0,0.0
2017-03-23,PEP,1,577.7666343295083,86.5478515625,50004.4609057155,0.0,0.0
2017-03-24,PEP,-1,-577.7666343295083,86.81111145019531,-50156.563684983186,0.0,0.0
2017-03-24,KO,1,1524.138215726164,32.51209259033203,49552.9227901525,0.0,0.0
2017-03-27,PEP,1,577.7150916784203,86.58655548095703,50022.35983779972,0.0,0.0
2017-03-27,KO,-1,-1536.0657628154706,32.666481018066406,-50177.863083513264,0.0,0.0
2017-03-28,KO,1,1536.0657628154706,32.75138854980469,50308.28663602161,0.0,0.0
2017-03-28,PEP,-1,-577.7150916784203,87.06661987304688,-50299.70028208745,0.0,0.0
2017-03-29,PEP,1,577.4568548462064,87.0511245727539,50268.26860660778,0.0,0.0
2017-03-29,KO,-1,-1530.6209436010931,32.74365997314453,-50118.131725047824,0.0,0.0
2017-03-30,KO,1,1530.6209436010931,32.882606506347656,50330.806198809296,0.0,0.0
2017-03-30,PEP,-1,-577.4568548462064,86.85755920410156,-50156.492957618655,0.0,0.0
